seqNum,account,expense
89,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-100000
89,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,233877
90,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-144000
90,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-92000
90,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,235949
91,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-161000
91,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-78400
91,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,239316
92,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,79000
92,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-63200
92,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
93,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,62000
93,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-49600
93,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
94,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-215000
94,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-35200
94,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,250194
95,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-234000
95,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-20000
95,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,253820
96,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-258000
96,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-800
96,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,258741
97,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
97,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
97,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
98,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
98,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
98,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
99,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
99,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
99,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
100,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
100,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
100,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
101,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
101,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
101,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
102,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,0
102,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
102,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
103,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,0
103,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
103,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
104,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
104,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
104,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
105,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
105,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
105,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
106,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
106,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
106,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
107,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
107,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
107,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
108,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
108,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
108,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
109,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
109,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
109,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
110,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
110,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
110,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
111,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
111,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
111,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
112,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
112,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
112,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
113,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
113,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
113,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
114,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,0
114,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
114,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
115,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,0
115,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
115,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
116,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
116,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
116,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
117,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
117,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
117,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
118,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
118,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
118,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
119,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
119,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
119,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
120,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
120,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
120,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
121,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
121,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
121,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
122,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
122,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
122,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
123,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
123,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
123,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
124,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
124,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
124,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
